RESOURCE,Fruit_length,Fruit_diameter,Seed_length,Seed_diameter,CONSUMER,INTSTR
Musa paradisiaca,120,30,NA,4,Anoura caudifer,1
Piper aduncum,166,6,0.84,0.34,Anoura geoffroyi,1
Piper arboreum,120,10,NA,NA,Anoura geoffroyi,0.5
Piper gaudichaudianum,100,6,1,0.8,Anoura geoffroyi,0.5
Cecropia glaziovii,230,12.62,2,0.62,Artibeus fimbriatus,1
Cecropia hololeuca,230,20.58,2.9,0.98,Artibeus fimbriatus,0.5
Cecropia pachystachya,200,10,2,0.61,Artibeus fimbriatus,1
Ficus catappifolia,32,23,1,0.5,Artibeus fimbriatus,0.5
Ficus clusiaefolia,5,6,1.2,0.7,Artibeus fimbriatus,0.5
Ficus cyclophylla,14,12,1.4,1.2,Artibeus fimbriatus,0.5
Ficus enormis,14,14,1.2,1,Artibeus fimbriatus,0.75
Ficus glabra,16.6,18,1,0.5,Artibeus fimbriatus,0.5
Ficus gomelleira,19.81,23.09,0.5,0.4,Artibeus fimbriatus,0.5
Ficus hirsuta,7,6,0.5,0.3,Artibeus fimbriatus,0.5
Ficus insipida,17,20,2.8,1.7,Artibeus fimbriatus,1
Ficus microcarpa,10,8,0.9,0.7,Artibeus fimbriatus,0.5
Ficus organensis,8,7,0.7,0.7,Artibeus fimbriatus,0.75
Ficus pertusa,8,8,1.1,1.1,Artibeus fimbriatus,0.5
Ficus pulchella,17.93,18,0.8,0.7,Artibeus fimbriatus,0.5
Maclura tinctoria,14.2,12.6,2.5,2.1,Artibeus fimbriatus,1
Manilkara subsericea,21,19,11.5,7,Artibeus fimbriatus,0.5
Piper aduncum,166,6,0.84,0.34,Artibeus fimbriatus,1
Piper arboreum,120,10,NA,NA,Artibeus fimbriatus,0.75
Piper gaudichaudianum,100,6,1,0.8,Artibeus fimbriatus,0.75
Psychotria carthagenensis,5.2,5.5,5,4.3,Artibeus fimbriatus,0.5
Psychotria deflexa,5.09,4.02,3,2.4,Artibeus fimbriatus,0.5
Psychotria leiocarpa,8,9,3,2.4,Artibeus fimbriatus,0.5
Psychotria myriantha,5.4,6.2,4,3,Artibeus fimbriatus,0.5
Psychotria nuda,8.7,7,NA,NA,Artibeus fimbriatus,0.5
Psychotria suterella,11,13,4,3,Artibeus fimbriatus,1
Psychotria vellosiana,0.4,3.7,NA,NA,Artibeus fimbriatus,0.5
Rubus rosifolius,15,12.6,1.5,1,Artibeus fimbriatus,0.75
Rubus urticifolius,10,8,2.2,1.4,Artibeus fimbriatus,0.5
Solanum americanum,6,6.2,1.4,1,Artibeus fimbriatus,0.5
Solanum argenteum,20,11,2.2,2,Artibeus fimbriatus,0.5
Solanum caavurana,15,10,2.5,2,Artibeus fimbriatus,0.75
Solanum megalochiton,7.6,6.3,NA,NA,Artibeus fimbriatus,0.5
Syagrus pseudococos,60,42,15,15,Artibeus fimbriatus,0.5
Andira anthelmia,40,35,35,30,Artibeus jamaicensis,0.5
Andira legalis,84.88,70.72,82.9,63.84,Artibeus jamaicensis,0.5
Annona cacans,65.67,115,12.9,7,Artibeus jamaicensis,0.5
Artocarpus heterophyllus,600,325,32.5,23.5,Artibeus jamaicensis,0.75
Artocarpus integrifolia,360,270,29,22,Artibeus jamaicensis,0.5
Cecropia glaziovii,230,12.62,2,0.62,Artibeus jamaicensis,1
Cecropia hololeuca,230,20.58,2.9,0.98,Artibeus jamaicensis,0.5
Cecropia pachystachya,200,10,2,0.61,Artibeus jamaicensis,1
Coffea arabica,11,8,10,5,Artibeus jamaicensis,0.75
Eriobotrya japonica,30,23,13,11,Artibeus jamaicensis,1
Ficus catappifolia,32,23,1,0.5,Artibeus jamaicensis,0.5
Ficus clusiaefolia,5,6,1.2,0.7,Artibeus jamaicensis,0.5
Ficus cyclophylla,14,12,1.4,1.2,Artibeus jamaicensis,0.5
Ficus enormis,14,14,1.2,1,Artibeus jamaicensis,0.5
Ficus glabra,16.6,18,1,0.5,Artibeus jamaicensis,0.5
Ficus gomelleira,19.81,23.09,0.5,0.4,Artibeus jamaicensis,0.75
Ficus hirsuta,7,6,0.5,0.3,Artibeus jamaicensis,0.5
Ficus insipida,17,20,2.8,1.7,Artibeus jamaicensis,0.5
Ficus microcarpa,10,8,0.9,0.7,Artibeus jamaicensis,0.75
Ficus organensis,8,7,0.7,0.7,Artibeus jamaicensis,0.5
Ficus pertusa,8,8,1.1,1.1,Artibeus jamaicensis,0.5
Ficus pulchella,17.93,18,0.8,0.7,Artibeus jamaicensis,0.5
Maclura tinctoria,14.2,12.6,2.5,2.1,Artibeus jamaicensis,1
Manilkara subsericea,21,19,11.5,7,Artibeus jamaicensis,0.5
Musa paradisiaca,120,30,NA,4,Artibeus jamaicensis,1
Passiflora actinia,35,NA,4,NA,Artibeus jamaicensis,0.5
Passiflora ovalis,80,57.5,8,4.5,Artibeus jamaicensis,0.5
Piper aduncum,166,6,0.84,0.34,Artibeus jamaicensis,1
Piper arboreum,120,10,NA,NA,Artibeus jamaicensis,1
Piper gaudichaudianum,100,6,1,0.8,Artibeus jamaicensis,0.5
Pouteria caimito,45,40,40,16,Artibeus jamaicensis,0.75
Psidium cattleyanum,32.4,31,4,2.5,Artibeus jamaicensis,0.5
Psidium guajava,59.4,57,4.7,3.5,Artibeus jamaicensis,1
Syzygium cumini,17,14.2,11.5,8.3,Artibeus jamaicensis,0.5
Trema micrantha,3.5,2.7,2,1.7,Artibeus jamaicensis,0.75
Andira anthelmia,40,35,35,30,Artibeus lituratus,0.5
Andira legalis,84.88,70.72,82.9,63.84,Artibeus lituratus,0.5
Annona cacans,65.67,115,12.9,7,Artibeus lituratus,0.5
Artocarpus heterophyllus,600,325,32.5,23.5,Artibeus lituratus,1
Artocarpus integrifolia,360,270,29,22,Artibeus lituratus,0.5
Campomanesia guaviroba,27,27,8.5,8.6,Artibeus lituratus,0.5
Cecropia glaziovii,230,12.62,2,0.62,Artibeus lituratus,1
Cecropia hololeuca,230,20.58,2.9,0.98,Artibeus lituratus,1
Cecropia pachystachya,200,10,2,0.61,Artibeus lituratus,1
Chrysophyllum cainito,4.66,4.56,NA,NA,Artibeus lituratus,0.5
Chrysophyllum flexuosum,28,10,19,7,Artibeus lituratus,0.5
Chrysophyllum gonocarpum,25.67,24.67,15.7,9.92,Artibeus lituratus,0.75
Chrysophyllum januariense,54,NA,29.5,18.5,Artibeus lituratus,0.5
Coffea arabica,11,8,10,5,Artibeus lituratus,0.75
Eriobotrya japonica,30,23,13,11,Artibeus lituratus,1
Eugenia adenantha,12.6,9,NA,NA,Artibeus lituratus,0.5
Eugenia brasiliensis,9.58,13.05,7.1,4.45,Artibeus lituratus,0.5
Eugenia cerasiflora,16,11,13,8.5,Artibeus lituratus,0.5
Eugenia glazioviana,12,11,10,9.5,Artibeus lituratus,0.5
Eugenia involucrata,22,15,12,7,Artibeus lituratus,0.5
Eugenia itapemirimensis,36.1,26.7,10,8.3,Artibeus lituratus,0.5
Eugenia macrantha,35,34.6,8.91,7.76,Artibeus lituratus,0.5
Eugenia mandiocensis,32.2,22.3,NA,NA,Artibeus lituratus,0.5
Eugenia neoglomerata,20.7,19.13,16.4,14.46,Artibeus lituratus,0.5
Eugenia prasina,18.2,9.7,18.9,9.41,Artibeus lituratus,0.5
Eugenia sprengelli,5,8,4,7,Artibeus lituratus,0.5
Eugenia stictosepala,31,18,26,16,Artibeus lituratus,0.5
Eugenia subavenia,9.9,6.9,NA,NA,Artibeus lituratus,0.5
Eugenia supraaxillaris,18.7,16.4,NA,NA,Artibeus lituratus,0.5
Euterpe edulis,12.8,12.46,11.7,10,Artibeus lituratus,0.75
Ficus catappifolia,32,23,1,0.5,Artibeus lituratus,0.5
Ficus clusiaefolia,5,6,1.2,0.7,Artibeus lituratus,0.5
Ficus cyclophylla,14,12,1.4,1.2,Artibeus lituratus,0.5
Ficus enormis,14,14,1.2,1,Artibeus lituratus,1
Ficus glabra,16.6,18,1,0.5,Artibeus lituratus,0.5
Ficus gomelleira,19.81,23.09,0.5,0.4,Artibeus lituratus,0.75
Ficus hirsuta,7,6,0.5,0.3,Artibeus lituratus,0.5
Ficus insipida,17,20,2.8,1.7,Artibeus lituratus,0.5
Ficus microcarpa,10,8,0.9,0.7,Artibeus lituratus,0.5
Ficus organensis,8,7,0.7,0.7,Artibeus lituratus,1
Ficus pertusa,8,8,1.1,1.1,Artibeus lituratus,0.5
Ficus pulchella,17.93,18,0.8,0.7,Artibeus lituratus,0.5
Inga capitata,70,20,13.6,7.3,Artibeus lituratus,0.5
Inga marginata,110,15,11,9,Artibeus lituratus,0.5
Inga sessilis,150,45,15,8,Artibeus lituratus,0.5
Inga striata,96,34,16.8,3.18,Artibeus lituratus,0.5
Maclura tinctoria,14.2,12.6,2.5,2.1,Artibeus lituratus,1
Manilkara subsericea,21,19,11.5,7,Artibeus lituratus,0.5
Musa paradisiaca,120,30,NA,4,Artibeus lituratus,1
Passiflora actinia,35,NA,4,NA,Artibeus lituratus,0.5
Passiflora ovalis,80,57.5,8,4.5,Artibeus lituratus,0.5
Piper aduncum,166,6,0.84,0.34,Artibeus lituratus,1
Piper arboreum,120,10,NA,NA,Artibeus lituratus,1
Piper gaudichaudianum,100,6,1,0.8,Artibeus lituratus,1
Pouteria caimito,45,40,40,16,Artibeus lituratus,0.75
Psidium cattleyanum,32.4,31,4,2.5,Artibeus lituratus,0.5
Psidium guajava,59.4,57,4.7,3.5,Artibeus lituratus,1
Psychotria carthagenensis,5.2,5.5,5,4.3,Artibeus lituratus,0.5
Psychotria deflexa,5.09,4.02,3,2.4,Artibeus lituratus,0.5
Psychotria leiocarpa,8,9,3,2.4,Artibeus lituratus,0.5
Psychotria myriantha,5.4,6.2,4,3,Artibeus lituratus,0.5
Psychotria nuda,8.7,7,NA,NA,Artibeus lituratus,0.5
Psychotria suterella,11,13,4,3,Artibeus lituratus,1
Psychotria vellosiana,0.4,3.7,NA,NA,Artibeus lituratus,0.5
Rubus rosifolius,15,12.6,1.5,1,Artibeus lituratus,0.75
Rubus urticifolius,10,8,2.2,1.4,Artibeus lituratus,0.5
Solanum americanum,6,6.2,1.4,1,Artibeus lituratus,0.5
Solanum argenteum,20,11,2.2,2,Artibeus lituratus,0.5
Solanum caavurana,15,10,2.5,2,Artibeus lituratus,0.75
Solanum megalochiton,7.6,6.3,NA,NA,Artibeus lituratus,0.5
Syagrus pseudococos,60,42,15,15,Artibeus lituratus,0.5
Syzygium cumini,17,14.2,11.5,8.3,Artibeus lituratus,0.75
Cecropia glaziovii,230,12.62,2,0.62,Artibeus obscurus,1
Cecropia hololeuca,230,20.58,2.9,0.98,Artibeus obscurus,0.5
Cecropia pachystachya,200,10,2,0.61,Artibeus obscurus,1
Ficus catappifolia,32,23,1,0.5,Artibeus obscurus,0.5
Ficus clusiaefolia,5,6,1.2,0.7,Artibeus obscurus,0.5
Ficus cyclophylla,14,12,1.4,1.2,Artibeus obscurus,0.5
Ficus enormis,14,14,1.2,1,Artibeus obscurus,0.5
Ficus glabra,16.6,18,1,0.5,Artibeus obscurus,0.5
Ficus gomelleira,19.81,23.09,0.5,0.4,Artibeus obscurus,0.5
Ficus hirsuta,7,6,0.5,0.3,Artibeus obscurus,0.5
Ficus insipida,17,20,2.8,1.7,Artibeus obscurus,0.75
Ficus microcarpa,10,8,0.9,0.7,Artibeus obscurus,0.5
Ficus organensis,8,7,0.7,0.7,Artibeus obscurus,0.5
Ficus pertusa,8,8,1.1,1.1,Artibeus obscurus,0.5
Ficus pulchella,17.93,18,0.8,0.7,Artibeus obscurus,0.5
Piper aduncum,166,6,0.84,0.34,Artibeus obscurus,1
Piper arboreum,120,10,NA,NA,Artibeus obscurus,0.75
Piper gaudichaudianum,100,6,1,0.8,Artibeus obscurus,0.75
Rubus rosifolius,15,12.6,1.5,1,Artibeus obscurus,0.75
Rubus urticifolius,10,8,2.2,1.4,Artibeus obscurus,0.5
Solanum americanum,6,6.2,1.4,1,Artibeus obscurus,0.5
Solanum argenteum,20,11,2.2,2,Artibeus obscurus,0.5
Solanum caavurana,15,10,2.5,2,Artibeus obscurus,0.75
Solanum megalochiton,7.6,6.3,NA,NA,Artibeus obscurus,0.5
Alchornea triplinervia,5.8,4.7,5.8,4.1,Attila rufus,0.5
Cupania oblongifolia,28.29,11,11.8,9.7,Attila rufus,0.5
Cupania racemosa,23,27,17,9.3,Attila rufus,0.5
Mollinedia glabra,13,12,NA,NA,Attila rufus,0.5
Mollinedia lanceolata,12.8,8.5,NA,NA,Attila rufus,0.5
Mollinedia longifolia,15,8,NA,NA,Attila rufus,0.5
Mollinedia pachysandra,14.4,12,NA,NA,Attila rufus,0.5
Myrsine ferruginea,3,NA,NA,NA,Attila rufus,0.5
Myrsine venosa,4.9,5,NA,4.2,Attila rufus,0.5
Sloanea guianensis,20,20,10,6,Attila rufus,1
Sloanea monosperma,12,10,7,4,Attila rufus,0.5
Alchornea triplinervia,5.8,4.7,5.8,4.1,Baillonius bailloni,0.75
Amaioua guianensis,17,10,4.6,3.5,Baillonius bailloni,0.5
Amaioua intermedia,19.38,9.24,4.6,3.61,Baillonius bailloni,0.75
Cabralea canjerana,28,25,10,9,Baillonius bailloni,1
Cecropia glaziovii,230,12.62,2,0.62,Baillonius bailloni,1
Cecropia hololeuca,230,20.58,2.9,0.98,Baillonius bailloni,0.5
Cecropia pachystachya,200,10,2,0.61,Baillonius bailloni,1
Copaifera langsdorffii,28.79,21.42,17,11,Baillonius bailloni,0.5
Copaifera lucens,30.69,21.17,21.6,12.49,Baillonius bailloni,0.5
Copaifera trapezifolia,31,23,18.3,11.53,Baillonius bailloni,0.5
Cupania oblongifolia,28.29,11,11.8,9.7,Baillonius bailloni,0.75
Cupania racemosa,23,27,17,9.3,Baillonius bailloni,0.5
Eriobotrya japonica,30,23,13,11,Baillonius bailloni,0.75
Eugenia adenantha,12.6,9,NA,NA,Baillonius bailloni,0.5
Eugenia brasiliensis,9.58,13.05,7.1,4.45,Baillonius bailloni,0.5
Eugenia cerasiflora,16,11,13,8.5,Baillonius bailloni,0.5
Eugenia glazioviana,12,11,10,9.5,Baillonius bailloni,0.5
Eugenia involucrata,22,15,12,7,Baillonius bailloni,0.5
Eugenia itapemirimensis,36.1,26.7,10,8.3,Baillonius bailloni,0.5
Eugenia macrantha,35,34.6,8.91,7.76,Baillonius bailloni,0.5
Eugenia mandiocensis,32.2,22.3,NA,NA,Baillonius bailloni,0.5
Eugenia neoglomerata,20.7,19.13,16.4,14.46,Baillonius bailloni,0.5
Eugenia prasina,18.2,9.7,18.9,9.41,Baillonius bailloni,0.5
Eugenia sprengelli,5,8,4,7,Baillonius bailloni,0.5
Eugenia stictosepala,31,18,26,16,Baillonius bailloni,0.5
Eugenia subavenia,9.9,6.9,NA,NA,Baillonius bailloni,0.5
Eugenia supraaxillaris,18.7,16.4,NA,NA,Baillonius bailloni,0.5
Euterpe edulis,12.8,12.46,11.7,10,Baillonius bailloni,1
Ficus catappifolia,32,23,1,0.5,Baillonius bailloni,0.5
Ficus clusiaefolia,5,6,1.2,0.7,Baillonius bailloni,0.5
Ficus cyclophylla,14,12,1.4,1.2,Baillonius bailloni,0.5
Ficus enormis,14,14,1.2,1,Baillonius bailloni,0.5
Ficus glabra,16.6,18,1,0.5,Baillonius bailloni,0.5
Ficus gomelleira,19.81,23.09,0.5,0.4,Baillonius bailloni,0.5
Ficus hirsuta,7,6,0.5,0.3,Baillonius bailloni,0.5
Ficus insipida,17,20,2.8,1.7,Baillonius bailloni,0.5
Ficus microcarpa,10,8,0.9,0.7,Baillonius bailloni,0.5
Ficus organensis,8,7,0.7,0.7,Baillonius bailloni,0.5
Ficus pertusa,8,8,1.1,1.1,Baillonius bailloni,0.5
Ficus pulchella,17.93,18,0.8,0.7,Baillonius bailloni,0.5
Ilex paraguariensis,4.8,4.7,4.8,2.6,Baillonius bailloni,0.5
Leandra acutiflora,6.4,5.5,NA,NA,Baillonius bailloni,0.5
Leandra dasytricha,5.1,NA,NA,NA,Baillonius bailloni,0.5
Leandra melastomoides,9.3,7.5,NA,1,Baillonius bailloni,0.5
Leandra variabilis,4.2,3.2,NA,1,Baillonius bailloni,0.75
Matayba guianensis,13.3,16.04,11.1,8.26,Baillonius bailloni,0.5
Maytenus aquifolium,12,9.5,5.5,3,Baillonius bailloni,0.5
Maytenus cestrifolia,6.7,4.6,11,7.41,Baillonius bailloni,0.5
Maytenus communis,14,9.1,NA,NA,Baillonius bailloni,0.5
Maytenus ligustrina,25,14,12,8,Baillonius bailloni,0.5
Maytenus obtusifolia,8,6,NA,6.8,Baillonius bailloni,0.5
Miconia brasiliensis,2.6,3,NA,1,Baillonius bailloni,0.5
Miconia calvescens,4.6,3.4,0.5,0.4,Baillonius bailloni,0.5
Miconia chartacea,3.3,4,3.3,3.1,Baillonius bailloni,0.5
Miconia cinerascens,3.7,4.5,1.4,1.3,Baillonius bailloni,0.5
Miconia cinnamomifolia,3.51,2.54,0.4,0.3,Baillonius bailloni,1
Miconia inconspicua,3.6,3,1,0.85,Baillonius bailloni,0.5
Miconia latecrenata,1.9,2.3,1,1,Baillonius bailloni,0.5
Miconia prasina,3.2,3.4,0.6,0.61,Baillonius bailloni,0.5
Miconia pusilliflora,4.5,4.5,2.7,1.6,Baillonius bailloni,0.5
Miconia rigidiuscula,3.2,3.54,1.21,1.34,Baillonius bailloni,0.5
Miconia staminea,6.3,6,NA,NA,Baillonius bailloni,0.5
Miconia theizans,5,4,0.7,0.4,Baillonius bailloni,0.5
Miconia tristis,3.4,3.6,1,1,Baillonius bailloni,0.5
Miconia valtherii,4.4,3.9,1.1,0.9,Baillonius bailloni,0.5
Myrcia laxiflora,8,7.6,NA,NA,Baillonius bailloni,0.5
Myrcia pubipetala,13.2,11.6,6.58,0.3,Baillonius bailloni,0.5
Myrcia rostrata,6.5,4.5,3,2.5,Baillonius bailloni,0.5
Myrsine ferruginea,3,NA,NA,NA,Baillonius bailloni,0.5
Myrsine venosa,4.9,5,NA,4.2,Baillonius bailloni,0.5
Nectandra leucantha,27,15,25,14,Baillonius bailloni,0.5
Nectandra membranacea,10,15,8,10,Baillonius bailloni,0.5
Nectandra oppositifolia,15,11,14,10,Baillonius bailloni,0.5
Nectandra puberula,12.4,13,11,10.5,Baillonius bailloni,0.5
Nectandra reticulata,15,9,14,8,Baillonius bailloni,0.5
Psychotria carthagenensis,5.2,5.5,5,4.3,Baillonius bailloni,0.5
Psychotria deflexa,5.09,4.02,3,2.4,Baillonius bailloni,0.5
Psychotria leiocarpa,8,9,3,2.4,Baillonius bailloni,0.75
Psychotria myriantha,5.4,6.2,4,3,Baillonius bailloni,0.5
Psychotria nuda,8.7,7,NA,NA,Baillonius bailloni,0.5
Psychotria suterella,11,13,4,3,Baillonius bailloni,0.5
Psychotria vellosiana,0.4,3.7,NA,NA,Baillonius bailloni,0.75
Sloanea guianensis,20,20,10,6,Baillonius bailloni,0.75
Sloanea monosperma,12,10,7,4,Baillonius bailloni,0.5
Solanum americanum,6,6.2,1.4,1,Baillonius bailloni,0.5
Solanum argenteum,20,11,2.2,2,Baillonius bailloni,0.5
Solanum caavurana,15,10,2.5,2,Baillonius bailloni,0.5
Solanum megalochiton,7.6,6.3,NA,NA,Baillonius bailloni,0.5
Symplocos variabilis,5.2,3.87,NA,NA,Baillonius bailloni,0.5
Trema micrantha,3.5,2.7,2,1.7,Baillonius bailloni,1
Virola bicuhyba,36.8,21,24,16,Baillonius bailloni,1
Virola gardneri,34.85,23.34,26,20,Baillonius bailloni,0.5
Virola oleifera,35,23,22,12,Baillonius bailloni,0.5
Xylopia brasiliensis,26,4.5,5.8,4.1,Baillonius bailloni,0.75
Xylopia langsdorfiana,8,6,8.6,6.12,Baillonius bailloni,0.5
Amaioua guianensis,17,10,4.6,3.5,Barypthengus ruficapillus,0.75
Amaioua intermedia,19.38,9.24,4.6,3.61,Barypthengus ruficapillus,0.5
Cabralea canjerana,28,25,10,9,Barypthengus ruficapillus,0.75
Cecropia glaziovii,230,12.62,2,0.62,Barypthengus ruficapillus,1
Cecropia hololeuca,230,20.58,2.9,0.98,Barypthengus ruficapillus,0.5
Cecropia pachystachya,200,10,2,0.61,Barypthengus ruficapillus,0.5
Euterpe edulis,12.8,12.46,11.7,10,Barypthengus ruficapillus,1
Nectandra leucantha,27,15,25,14,Barypthengus ruficapillus,0.5
Nectandra membranacea,10,15,8,10,Barypthengus ruficapillus,1
Nectandra oppositifolia,15,11,14,10,Barypthengus ruficapillus,0.5
Nectandra puberula,12.4,13,11,10.5,Barypthengus ruficapillus,0.5
Nectandra reticulata,15,9,14,8,Barypthengus ruficapillus,0.5
Paullinea carpopoda,9,7,8.3,6.6,Barypthengus ruficapillus,0.75
Syzygium cumini,17,14.2,11.5,8.3,Barypthengus ruficapillus,0.75
Virola bicuhyba,36.8,21,24,16,Barypthengus ruficapillus,1
Virola gardneri,34.85,23.34,26,20,Barypthengus ruficapillus,0.5
Virola oleifera,35,23,22,12,Barypthengus ruficapillus,0.5
Aegiphila obducta,14.4,11.6,NA,NA,Cacicus haemorrhous,0.5
Aegiphila sellowiana,8,4,4,2,Cacicus haemorrhous,0.5
Alchornea triplinervia,5.8,4.7,5.8,4.1,Cacicus haemorrhous,1
Cabralea canjerana,28,25,10,9,Cacicus haemorrhous,1
Cecropia glaziovii,230,12.62,2,0.62,Cacicus haemorrhous,1
Cecropia hololeuca,230,20.58,2.9,0.98,Cacicus haemorrhous,0.5
Cecropia pachystachya,200,10,2,0.61,Cacicus haemorrhous,0.5
Clusia criuva,13,11,NA,1.8,Cacicus haemorrhous,1
Clusia lanceolata,40,41,6.5,3.1,Cacicus haemorrhous,0.5
Cupania oblongifolia,28.29,11,11.8,9.7,Cacicus haemorrhous,1
Cupania racemosa,23,27,17,9.3,Cacicus haemorrhous,0.5
Euterpe edulis,12.8,12.46,11.7,10,Cacicus haemorrhous,1
Ficus catappifolia,32,23,1,0.5,Cacicus haemorrhous,0.5
Ficus clusiaefolia,5,6,1.2,0.7,Cacicus haemorrhous,0.5
Ficus cyclophylla,14,12,1.4,1.2,Cacicus haemorrhous,0.5
Ficus enormis,14,14,1.2,1,Cacicus haemorrhous,0.5
Ficus glabra,16.6,18,1,0.5,Cacicus haemorrhous,0.5
Ficus gomelleira,19.81,23.09,0.5,0.4,Cacicus haemorrhous,0.5
Ficus hirsuta,7,6,0.5,0.3,Cacicus haemorrhous,0.5
Ficus insipida,17,20,2.8,1.7,Cacicus haemorrhous,0.5
Ficus microcarpa,10,8,0.9,0.7,Cacicus haemorrhous,0.5
Ficus organensis,8,7,0.7,0.7,Cacicus haemorrhous,0.5
Ficus pertusa,8,8,1.1,1.1,Cacicus haemorrhous,0.5
Ficus pulchella,17.93,18,0.8,0.7,Cacicus haemorrhous,0.5
Guapira opposita,6.95,6.53,6.1,3.84,Cacicus haemorrhous,1
Guarea guidonia,16,12,13,10,Cacicus haemorrhous,1
Matayba guianensis,13.3,16.04,11.1,8.26,Cacicus haemorrhous,1
Miconia brasiliensis,2.6,3,NA,1,Cacicus haemorrhous,0.5
Miconia calvescens,4.6,3.4,0.5,0.4,Cacicus haemorrhous,0.5
Miconia chartacea,3.3,4,3.3,3.1,Cacicus haemorrhous,0.5
Miconia cinerascens,3.7,4.5,1.4,1.3,Cacicus haemorrhous,0.5
Miconia cinnamomifolia,3.51,2.54,0.4,0.3,Cacicus haemorrhous,1
Miconia inconspicua,3.6,3,1,0.85,Cacicus haemorrhous,0.5
Miconia latecrenata,1.9,2.3,1,1,Cacicus haemorrhous,0.5
Miconia prasina,3.2,3.4,0.6,0.61,Cacicus haemorrhous,0.5
Miconia pusilliflora,4.5,4.5,2.7,1.6,Cacicus haemorrhous,0.5
Miconia rigidiuscula,3.2,3.54,1.21,1.34,Cacicus haemorrhous,0.5
Miconia staminea,6.3,6,NA,NA,Cacicus haemorrhous,0.5
Miconia theizans,5,4,0.7,0.4,Cacicus haemorrhous,0.5
Miconia tristis,3.4,3.6,1,1,Cacicus haemorrhous,0.5
Miconia valtherii,4.4,3.9,1.1,0.9,Cacicus haemorrhous,1
Myrcia laxiflora,8,7.6,NA,NA,Cacicus haemorrhous,0.5
Myrcia pubipetala,13.2,11.6,6.58,0.3,Cacicus haemorrhous,0.5
Myrcia rostrata,6.5,4.5,3,2.5,Cacicus haemorrhous,0.5
Myrsine ferruginea,3,NA,NA,NA,Cacicus haemorrhous,1
Myrsine venosa,4.9,5,NA,4.2,Cacicus haemorrhous,0.5
Nectandra leucantha,27,15,25,14,Cacicus haemorrhous,0.5
Nectandra membranacea,10,15,8,10,Cacicus haemorrhous,1
Nectandra oppositifolia,15,11,14,10,Cacicus haemorrhous,0.5
Nectandra puberula,12.4,13,11,10.5,Cacicus haemorrhous,0.5
Nectandra reticulata,15,9,14,8,Cacicus haemorrhous,0.5
Ocotea daphnifolia,15,15,14,14,Cacicus haemorrhous,0.5
Ocotea diospyrifolia,16.2,1.6,16,10.6,Cacicus haemorrhous,0.5
Ocotea divaricata,9,NA,8,NA,Cacicus haemorrhous,0.5
Ocotea elegans,9,7,8,5,Cacicus haemorrhous,0.5
Ocotea insignis,34.5,20,29,17,Cacicus haemorrhous,0.5
Ocotea lancifolia,15,12.4,12.7,10.6,Cacicus haemorrhous,0.5
Ocotea laxa,8,16,7,13.6,Cacicus haemorrhous,0.5
Ocotea odorifera,21.83,12.98,12,5,Cacicus haemorrhous,0.5
Ocotea silvestris,20,15,15,11,Cacicus haemorrhous,0.5
Ocotea teleiandra,21,17,20,16,Cacicus haemorrhous,0.5
Pera glabrata,4.2,2.3,4,2.6,Cacicus haemorrhous,1
Protium heptaphyllum,17.26,10.76,9.23,7.5,Cacicus haemorrhous,1
Rubus rosifolius,15,12.6,1.5,1,Cacicus haemorrhous,1
Rubus urticifolius,10,8,2.2,1.4,Cacicus haemorrhous,0.5
Schinus terebinthifolius,6,6,3.5,3.5,Cacicus haemorrhous,1
Sorocea bonpplandii,11,9.1,9,7,Cacicus haemorrhous,1
Sorocea guilleminiana,15.7,14.3,5.8,8.29,Cacicus haemorrhous,0.5
Tetrorchidium rubrivenium,10,12,6,4.5,Cacicus haemorrhous,1
Urera baccifera,5,4.3,2,2,Cacicus haemorrhous,1
Urera caracasana,4.7,3.5,NA,NA,Cacicus haemorrhous,0.5
Urera mitis,3.5,2.5,1,0.8,Cacicus haemorrhous,0.5
Xylopia brasiliensis,26,4.5,5.8,4.1,Cacicus haemorrhous,1
Xylopia langsdorfiana,8,6,8.6,6.12,Cacicus haemorrhous,0.5
Anthurium scandens,6,6,2,1,Callithrix spp.,1
Artocarpus heterophyllus,600,325,32.5,23.5,Callithrix spp.,0.75
Artocarpus integrifolia,360,270,29,22,Callithrix spp.,0.5
Cecropia glaziovii,230,12.62,2,0.62,Callithrix spp.,1
Cecropia hololeuca,230,20.58,2.9,0.98,Callithrix spp.,0.5
Cecropia pachystachya,200,10,2,0.61,Callithrix spp.,1
Epiphyllum phyllanthus,85,30,4.5,2,Callithrix spp.,0.75
Ficus catappifolia,32,23,1,0.5,Callithrix spp.,0.5
Ficus clusiaefolia,5,6,1.2,0.7,Callithrix spp.,0.5
Ficus cyclophylla,14,12,1.4,1.2,Callithrix spp.,0.5
Ficus enormis,14,14,1.2,1,Callithrix spp.,1
Ficus glabra,16.6,18,1,0.5,Callithrix spp.,0.5
Ficus gomelleira,19.81,23.09,0.5,0.4,Callithrix spp.,0.5
Ficus hirsuta,7,6,0.5,0.3,Callithrix spp.,0.5
Ficus insipida,17,20,2.8,1.7,Callithrix spp.,0.5
Ficus microcarpa,10,8,0.9,0.7,Callithrix spp.,0.5
Ficus organensis,8,7,0.7,0.7,Callithrix spp.,0.5
Ficus pertusa,8,8,1.1,1.1,Callithrix spp.,0.5
